"query","name","labelM2","measuredM2","deltaPct","method","doors","windows","furniture","flags"
"A-001","A-001 / ADMIN OPEN OFFICE / 150 m²","150","134,42267081250003","10,3848861249999800","flood","0","0","4","labelMismatch|emptyOpenings"
"A-002","A-002 / SALA NARAD / 100 m²","100","92,95203667361112","7,0479633263888800","flood","0","0","2","emptyOpenings"
"A-003","A-003 / HOL GLOWNY + REJESTRACJA / 276 m²","276","220,8","20,0","raycast","0","0","5","leakSuspected|labelMismatch"
"A-101","A-101 / PORADNIA PEDIATRYCZNA / 64 m²","64","136","112,5","raycast","0","0","0","leakSuspected|leakSuspected|labelMismatch|emptyOpenings"
"A-102","A-102 / PORADNIA INTERNISTYCZNA / 56 m²","56","119","112,5","raycast","0","0","0","leakSuspected|leakSuspected|labelMismatch|emptyOpenings"
"A-103","A-103 / PORADNIA CHIRURG. / 48 m²","48","98,8","105,83333333333333333333333333","raycast","0","0","0","leakSuspected|leakSuspected|labelMismatch|emptyOpenings"
"A-103","A-103 / PORADNIA CHIRURG. / 48 m²","48","221","360,416666666667","raycast","0","0","0","leakSuspected|leakSuspected|labelMismatch|emptyOpenings"
"A-105","A-105 / KONSULT. / 56 m²","56","53,2","5,00","raycast","0","0","0","leakSuspected|emptyOpenings"
"A-201","A-201 / APTEKA SZPITALNA / 96 m²","96","88,93702261111112","7,3572681134259166666666666700","flood","0","0","1","emptyOpenings"
"A-202","A-202 / SOCJALNA PERSONELU / 72 m²","72","66,95259005555556","7,0102915895061666666666666700","flood","0","0","2","emptyOpenings"
"A-203","A-203 / KAWIARNIA / GASTRO / 112 m²","112","106,4","5,00","raycast","0","0","3","leakSuspected|emptyOpenings"
"A-301","A-301 / WC ACCESS. / KOBIETY",,"13,775959361111115",,"flood","0","0","0","emptyOpenings"
"A-302","A-302 / WC ACCESS. / MEZCZYZNI",,"12,508999368055559",,"flood","0","0","0","emptyOpenings"
"A-303","A-303 / PRZEWIJAK / + RODZINNY",,"40,56056428472223",,"flood","0","0","1","emptyOpenings"
"A-304","A-304 / SALA KONFERENCYJNA / 200 m²","200","184,51220180555558","7,7438990972222100","flood","0","0","4","emptyOpenings|furnitureMismatch"
"A-305","A-305 / SALA EDUKACYJNA / SZKOLEN / 200 m²","200","183,26308631944448","8,3684568402777600","flood","0","0","4","emptyOpenings|furnitureMismatch"
"A-401","A-401 / ADMIN / 104 m²","104","95,45026764583335","8,220896494391009615384615380","flood","0","0","3","emptyOpenings"
"A-402","A-402 / ARCHIWUM / 104 m²","104","97,10980679166667","6,6251857772435865384615384600","flood","0","0","2","emptyOpenings"
"A-403","A-403 / IT / SERWERY / 104 m²","104","83,833493625","19,390871514423076923076923080","flood","0","0","4","labelMismatch|emptyOpenings"
"A-404","A-404 / DYREKCJA / 104 m²","104","67,68421484027779","34,919024192040586538461538460","flood","0","0","0","labelMismatch|emptyOpenings"
"B-101","B-101 / TRIAGE / 48 m²","48","43,61197497222223","9,141718807870354166666666670","flood","0","0","3","emptyOpenings"
"B-102","B-102 / WJAZD KARETEK / VESTIBULE / 80 m²","80","129,5","61,87500","raycast","0","0","5","leakSuspected|leakSuspected|labelMismatch|emptyOpenings"
"B-102","B-102 / WJAZD KARETEK / VESTIBULE / 80 m²","80","229,03424663194448","186,292808289930600","flood","0","0","6","leakSuspected|labelMismatch|emptyOpenings"
"B-201","B-201 / BOX 1",,"7,74451601388889",,"flood","0","0","0",""
"B-202","B-202 / BOX 2","34","297,6106868194445","775,32554946895441176470588235","flood","0","0","5","leakSuspected|labelMismatch"
"B-202","B-202 / BOX 2","34","297,6106868194445","775,32554946895441176470588235","flood","0","0","5","leakSuspected|labelMismatch"
"B-202","B-202 / BOX 2","34","297,6106868194445","775,32554946895441176470588235","flood","0","0","5","leakSuspected|labelMismatch"
"B-203","B-203 / BOX 3",,"12,169953736111113",,"flood","0","0","1",""
"B-204","B-204 / BOX 4","52,5","82,25","56,666666666666666666666666670","raycast","0","0","2","leakSuspected|leakSuspected|labelMismatch"
"B-205","B-205 / SALA RESUSCYTACYJNA / 52 m² (min. 36 m² MZ)","52","38,954558659722224","25,087387192841876923076923080","flood","0","0","0","labelMismatch|emptyOpenings"
"B-220","B-220 / SLUZA AIIR 1","40","60","50","raycast","0","0","1","leakSuspected|labelMismatch|emptyOpenings"
